,prop_name,location,price,sqft,size,val
0,3 BHK Apartment in ASBL ASBL Loft,Nanakramguda, 1.77 Cr,"9,499 / sq ft",1870 ,Under Construction
1,3 BHK Apartment in Jains Jains Balaji Nilayam Casa Waterside,Malkajgiri, 1.68 Cr,"7,500 / sq ft",2245 ,Ready to move
2,4 BHK Villa in Sunyuga Villa Palazzo,Gundlapochampally, 2.97 Cr,"8,300 / sq ft",3587 ,Under Construction
3,4 BHK Apartment in RAGHURAM PRADEEP CONSTRUCTIONS The Vue Residences,Puppalaguda, 4.04 Cr,"10,891 / sq ft",3715 ,Under Construction
4,4 BHK Independent House in APR Praveens Eterno,Kollur, 3.86 Cr,"10,000 / sq ft",3860 ,Under Construction
5,3 BHK Apartment in Risinia The Edge,Pragathi Nagar Kukatpally, 1.03 Cr,"5,599 / sq ft",1843 ,Under Construction
6,3 BHK Apartment in Cloudswood Radhey Skye,Velmala, 1.08 Cr,"5,899 / sq ft",1835 ,Under Construction
7,3 BHK Apartment in Kalyan Skyway 9,Manchirevula, 1.46 Cr,"6,800 / sq ft",2150 ,Ready to move
8,2 BHK Apartment in MKT Urban Tree,Isnapur, 48.04 L,"4,200 / sq ft",1144 ,Under Construction
9,5 BHK Villa in Green Mark Greenmark Mayfair Sunrise,Kollur, 7.41 Cr,"12,142 / sq ft",6111 ,Under Construction
10,3 BHK Apartment in Hallmark Sunnyside,Manchirevula, 1.48 Cr,"7,799 / sq ft",1910 ,Ready to move
11,3 BHK Apartment in GHR Callisto,Kollur, 1.06 Cr,"5,999 / sq ft",1775 ,Under Construction
12,3 BHK Villa in Trishala The Village,Shamshabad, 3.33 Cr,"13,000 / sq ft",2565 ,Ready to move
13,3 BHK Apartment in Theme Imperial,Attapur, 1.56 Cr,"7,499 / sq ft",2090 ,Under Construction
14,3 BHK Apartment in Giridhari Happiness Hub,Kismatpur, 93.09 L,"6,299 / sq ft",1478 ,Under Construction
15,3 BHK Apartment in Candeur Twins,Miyapur, 1.52 Cr,"7,600 / sq ft",2004 ,Under Construction
16,4 BHK Villa in Elegant E INFRA LA CASA,Adibatla, 7.27 Cr,"8,500 / sq ft",8564 ,Under Construction
17,2 BHK Apartment in Muppa Melody,Osman Nagar, 1.03 Cr,"7,399 / sq ft",1400 ,Ready to move
18,3 BHK Apartment in Vision Visions Arsha,Tellapur, 1.41 Cr,"7,099 / sq ft",2000 ,Under Construction
19,2 BHK Apartment in Primark Eco Nest,Kompally, 58.26 L,"4,699 / sq ft",1240 ,Under Construction
